ticker,display_name,asset_class,currency,region,venue,risk_sleeves,primary_vulnerability_tags,generic_safe_asset_flag,cash_like_flag,duration_bucket,inverse_or_leverage_flag,benchmark_role_default,max_grade_without_direct_match,min_adv_krw,candidate_role,notes_ko,group_tag,benchmark_group,is_core_hedge,candidate_role_reason_ko
011200.KS,HMM,kr_stock,KRW,KR,KRX,geopolitical_supply_chain|inflation_energy_shock,shipping|global_trade,N,N,,N,N,C,4000000000,diagnostic_only,보유자산 취약점 원인 분석용,shipping,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
017670.KS,SK Telecom,kr_stock,KRW,KR,KRX,recession_liquidity_stress|korea_domestic_credit,defensive_equity|korea_equity,N,N,,N,N,C,4000000000,diagnostic_only,보유자산 취약점 원인 분석용,telecom,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
000810.KS,Samsung Fire,kr_stock,KRW,KR,KRX,korea_domestic_credit|rate_shock_growth_duration,korea_financial|insurance,N,N,,N,N,C,4000000000,diagnostic_only,보유자산 취약점 원인 분석용,insurance,KOSPI200,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
AAPL,Apple,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|mega_cap|usd_exposure,N,N,,N,N,C,100000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
MSFT,Microsoft,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|ai_capex|usd_exposure,N,N,,N,N,C,100000000000,diagnostic_only,보유자산 취약점 원인 분석용,growth,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
NVDA,NVIDIA,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|rate_shock_growth_duration,semiconductor_ai_cycle|ai_capex|growth_beta|usd_exposure,N,N,,N,N,C,100000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
AMZN,Amazon,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|consumer_cycle|usd_exposure,N,N,,N,N,C,80000000000,diagnostic_only,보유자산 취약점 원인 분석용,growth,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
GOOGL,Alphabet,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|platform|usd_exposure,N,N,,N,N,C,80000000000,diagnostic_only,보유자산 취약점 원인 분석용,growth,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
META,Meta Platforms,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|platform|usd_exposure,N,N,,N,N,C,70000000000,diagnostic_only,보유자산 취약점 원인 분석용,growth,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
TSLA,Tesla,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|high_beta|consumer_cycle|usd_exposure,N,N,,N,N,C,100000000000,diagnostic_only,보유자산 취약점 원인 분석용,growth,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
BRK-B,Berkshire Hathaway B,us_stock,USD,US,NYSE,recession_liquidity_stress,value_quality|usd_exposure,N,N,,N,N,C,50000000000,conditional_candidate,가치 방어 비교 후보,large_cap,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
JPM,JPMorgan Chase,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,financial|credit_cycle|usd_exposure,N,N,,N,N,C,50000000000,diagnostic_only,보유자산 취약점 원인 분석용,financial,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
V,Visa,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,quality_growth|usd_exposure,N,N,,N,N,C,40000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
MA,Mastercard,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,quality_growth|usd_exposure,N,N,,N,N,C,40000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
XOM,Exxon Mobil,us_stock,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,energy|commodity_beta|usd_exposure,N,N,,N,N,C,50000000000,conditional_candidate,에너지 충격 보완 후보,energy_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
JNJ,Johnson and Johnson,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|healthcare|usd_exposure,N,N,,N,N,C,40000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
UNH,UnitedHealth,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|healthcare|usd_exposure,N,N,,N,N,C,40000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
PG,Procter and Gamble,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|consumer_staples|usd_exposure,N,N,,N,N,C,30000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
KO,Coca Cola,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|consumer_staples|usd_exposure,N,N,,N,N,C,25000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
HD,Home Depot,us_stock,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,consumer_cycle|housing_rate_sensitive|usd_exposure,N,N,,N,N,C,30000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
AVGO,Broadcom,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|rate_shock_growth_duration,semiconductor_ai_cycle|ai_capex|growth_beta|usd_exposure,N,N,,N,N,C,50000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
COST,Costco,us_stock,USD,US,NASDAQ,recession_liquidity_stress,defensive_equity|consumer_staples|usd_exposure,N,N,,N,N,C,30000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
PFE,Pfizer,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|healthcare|usd_exposure,N,N,,N,N,C,25000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
AMD,Advanced Micro Devices,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|rate_shock_growth_duration,semiconductor_ai_cycle|growth_beta|usd_exposure,N,N,,N,N,C,50000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
INTC,Intel,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|recession_liquidity_stress,semiconductor_ai_cycle|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
QCOM,Qualcomm,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|geopolitical_supply_chain,semiconductor_ai_cycle|global_trade|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
MU,Micron Technology,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|recession_liquidity_stress,semiconductor_ai_cycle|memory_cycle|usd_exposure,N,N,,N,N,C,20000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
TSM,Taiwan Semiconductor,us_stock,USD,TW,NYSE,semiconductor_ai_cycle|geopolitical_supply_chain,semiconductor_ai_cycle|taiwan_supply_chain|usd_exposure,N,N,,N,N,C,40000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,GLOBAL,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
ASML,ASML Holding,us_stock,USD,EU,NASDAQ,semiconductor_ai_cycle|geopolitical_supply_chain,semiconductor_ai_cycle|equipment_cycle|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,GLOBAL,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
LRCX,Lam Research,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|rate_shock_growth_duration,semiconductor_ai_cycle|equipment_cycle|usd_exposure,N,N,,N,N,C,20000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
AMAT,Applied Materials,us_stock,USD,US,NASDAQ,semiconductor_ai_cycle|rate_shock_growth_duration,semiconductor_ai_cycle|equipment_cycle|usd_exposure,N,N,,N,N,C,20000000000,diagnostic_only,보유자산 취약점 원인 분석용,semiconductor,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
CRM,Salesforce,us_stock,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|software|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,software,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
ORCL,Oracle,us_stock,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,quality_growth|software|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,software,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
NFLX,Netflix,us_stock,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|consumer_cycle|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,growth,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
DIS,Walt Disney,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,consumer_cycle|media|usd_exposure,N,N,,N,N,C,20000000000,diagnostic_only,보유자산 취약점 원인 분석용,large_cap,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
BAC,Bank of America,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,financial|credit_cycle|usd_exposure,N,N,,N,N,C,40000000000,diagnostic_only,보유자산 취약점 원인 분석용,financial,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
GS,Goldman Sachs,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,financial|credit_cycle|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,financial,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
MS,Morgan Stanley,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,financial|credit_cycle|usd_exposure,N,N,,N,N,C,25000000000,diagnostic_only,보유자산 취약점 원인 분석용,financial,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
WMT,Walmart,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|consumer_staples|usd_exposure,N,N,,N,N,C,40000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
MRK,Merck,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|healthcare|usd_exposure,N,N,,N,N,C,25000000000,conditional_candidate,방어 섹터 비교 후보,defensive_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
LLY,Eli Lilly,us_stock,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,quality_growth|healthcare|usd_exposure,N,N,,N,N,C,40000000000,conditional_candidate,방어 섹터 비교 후보,healthcare,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
ABBV,AbbVie,us_stock,USD,US,NYSE,recession_liquidity_stress,defensive_equity|healthcare|usd_exposure,N,N,,N,N,C,25000000000,conditional_candidate,방어 섹터 비교 후보,healthcare,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
CVX,Chevron,us_stock,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,energy|commodity_beta|usd_exposure,N,N,,N,N,C,40000000000,conditional_candidate,에너지 충격 보완 후보,energy_sector,SP500,N,취약점 보완 근거가 있을 때만 검토 후보
SPY,SPDR S&P 500 ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,market_beta|usd_exposure,N,N,,N,N,C,100000000000,diagnostic_only,시장 beta 기준 자산,large_cap,SP500,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
QQQ,Invesco QQQ,equity_etf,USD,US,NASDAQ,rate_shock_growth_duration|semiconductor_ai_cycle,growth_beta|nasdaq_beta|usd_exposure,N,N,,N,N,C,100000000000,diagnostic_only,성장주 beta 기준 자산,growth,NASDAQ100,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
DIA,SPDR Dow Jones ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress,value_quality|usd_exposure,N,N,,N,N,C,30000000000,diagnostic_only,시장 기준 자산,large_cap,DOW,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
IWM,iShares Russell 2000 ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,small_cap|credit_sensitive|usd_exposure,N,N,,N,N,C,30000000000,diagnostic_only,소형주 beta 기준 자산,small_cap,RUSSELL2000,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
VTI,Vanguard Total Stock Market ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress,market_beta|usd_exposure,N,N,,N,N,C,50000000000,diagnostic_only,시장 기준 자산,large_cap,US_TOTAL,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
VXUS,Vanguard Total International Stock ETF,equity_etf,USD,GLOBAL,NASDAQ,usdkrw_fx_korea|geopolitical_supply_chain,global_equity|usd_exposure,N,N,,N,N,C,20000000000,diagnostic_only,해외주식 기준 자산,global_equity,GLOBAL,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
EWY,iShares MSCI South Korea ETF,equity_etf,USD,KR,NYSE,usdkrw_fx_korea|korea_domestic_credit|semiconductor_ai_cycle,korea_equity|usd_listing,N,N,,N,N,C,15000000000,diagnostic_only,한국 노출 기준 자산,korea_equity,MSCI_KOREA,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
EFA,iShares MSCI EAFE ETF,equity_etf,USD,GLOBAL,NYSE,usdkrw_fx_korea|geopolitical_supply_chain,developed_ex_us|usd_exposure,N,N,,N,N,C,20000000000,diagnostic_only,선진국 ex-US 기준 자산,global_equity,EAFE,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
TLT,iShares 20 Plus Year Treasury ETF,bond_etf,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,long_duration|duration_risk,Y,N,long,N,Y,D,50000000000,benchmark_candidate,장기채 benchmark이며 금리취약 직접 처방 근거 없이는 메인 추천 제외,bond_duration,US_TREASURY,Y,범용 방어 benchmark입니다
IEF,iShares 7-10 Year Treasury ETF,bond_etf,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,intermediate_duration|duration_risk,Y,N,intermediate,N,Y,D,40000000000,benchmark_candidate,중기채 benchmark이며 직접 근거 없이는 메인 추천 제외,bond_duration,US_TREASURY,Y,범용 방어 benchmark입니다
SHY,iShares 1-3 Year Treasury ETF,bond_etf,USD,US,NASDAQ,rate_shock_growth_duration|recession_liquidity_stress,short_duration|cash_like,Y,Y,short,N,Y,D,30000000000,benchmark_candidate,단기채 cash-like benchmark로 최종 선택은 최대 1개,short_treasury,US_TREASURY,Y,범용 방어 benchmark입니다
LQD,iShares Investment Grade Corporate Bond ETF,bond_etf,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,credit_duration|credit_spread,Y,N,intermediate,N,Y,D,20000000000,benchmark_candidate,크레딧 benchmark이며 직접 근거 없이는 메인 추천 제외,credit_bond,US_CREDIT,Y,범용 방어 benchmark입니다
HYG,iShares High Yield Corporate Bond ETF,bond_etf,USD,US,NYSE,recession_liquidity_stress,high_yield|credit_spread,N,N,short,N,N,C,20000000000,conditional_candidate,하이일드 credit beta 비교 후보,high_yield,US_CREDIT,N,취약점 보완 근거가 있을 때만 검토 후보
TIP,iShares TIPS Bond ETF,bond_etf,USD,US,NYSE,inflation_energy_shock|rate_shock_growth_duration,inflation_linked|duration_risk,Y,N,intermediate,N,Y,D,20000000000,benchmark_candidate,물가연동채 benchmark이며 인플레 취약 직접 근거 필요,inflation_linked,US_TREASURY,Y,범용 방어 benchmark입니다
GLD,SPDR Gold Shares,gold_etf,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,precious_metal|gold,Y,N,none,N,Y,D,30000000000,benchmark_candidate,금 benchmark이며 핵심 취약 직접 처방 근거 없이는 메인 추천 제외,precious_metal,GOLD,Y,범용 방어 benchmark입니다
IAU,iShares Gold Trust,gold_etf,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,precious_metal|gold,Y,N,none,N,Y,D,15000000000,benchmark_candidate,금 benchmark이며 핵심 취약 직접 처방 근거 없이는 메인 추천 제외,precious_metal,GOLD,Y,범용 방어 benchmark입니다
DBC,Invesco DB Commodity Index ETF,commodity_etf,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,broad_commodity|inflation,N,N,none,N,N,C,8000000000,hedge_candidate,인플레이션 및 원자재 취약점 보완 후보,broad_commodity,COMMODITY,Y,핵심 취약점 직접 완화 후보
USO,United States Oil Fund,commodity_etf,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,oil|energy,N,N,none,N,N,C,8000000000,hedge_candidate,에너지 충격 취약점 보완 후보,oil,OIL,Y,핵심 취약점 직접 완화 후보
XLE,Energy Select Sector SPDR ETF,equity_etf,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,energy_sector|commodity_beta,N,N,none,N,N,C,20000000000,hedge_candidate,에너지 인플레 취약점 보완 후보,energy_sector,SP500_SECTOR,Y,핵심 취약점 직접 완화 후보
XLP,Consumer Staples Select Sector SPDR ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,defensive_equity|consumer_staples,N,N,none,N,N,C,20000000000,hedge_candidate,경기침체 및 성장주 beta 취약점 방어 후보,defensive_sector,SP500_SECTOR,Y,핵심 취약점 직접 완화 후보
XLU,Utilities Select Sector SPDR ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,defensive_equity|low_beta,N,N,none,N,N,C,20000000000,hedge_candidate,경기침체 및 성장주 beta 취약점 방어 후보,defensive_sector,SP500_SECTOR,Y,핵심 취약점 직접 완화 후보
XLV,Health Care Select Sector SPDR ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress,defensive_equity|healthcare,N,N,none,N,N,C,20000000000,hedge_candidate,경기침체 취약점 방어 후보,defensive_sector,SP500_SECTOR,Y,핵심 취약점 직접 완화 후보
ITA,iShares US Aerospace Defense ETF,equity_etf,USD,US,CBOE,geopolitical_supply_chain,defense_sector|geopolitical,N,N,none,N,N,C,8000000000,hedge_candidate,지정학 공급망 취약점 보완 후보,defense_sector,US_SECTOR,Y,핵심 취약점 직접 완화 후보
PPA,Invesco Aerospace Defense ETF,equity_etf,USD,US,NYSE,geopolitical_supply_chain,defense_sector|geopolitical,N,N,none,N,N,C,8000000000,hedge_candidate,지정학 공급망 취약점 보완 후보,defense_sector,US_SECTOR,Y,핵심 취약점 직접 완화 후보
VNQ,Vanguard Real Estate ETF,equity_etf,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,real_estate|duration_risk,N,N,none,N,N,C,12000000000,diagnostic_only,금리 민감 부동산 기준 자산,real_estate,US_REIT,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
XLK,Technology Select Sector SPDR ETF,equity_etf,USD,US,NYSE,rate_shock_growth_duration|semiconductor_ai_cycle,growth_beta|technology,N,N,none,N,N,C,25000000000,diagnostic_only,기술주 beta 기준 자산,growth,SP500_SECTOR,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
XLY,Consumer Discretionary Select Sector SPDR ETF,equity_etf,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,consumer_cycle|high_beta,N,N,none,N,N,C,18000000000,diagnostic_only,경기소비재 beta 기준 자산,cyclical,SP500_SECTOR,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
XLF,Financial Select Sector SPDR ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress|rate_shock_growth_duration,financial|credit_cycle,N,N,none,N,N,C,25000000000,diagnostic_only,금융 beta 기준 자산,financial,SP500_SECTOR,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
XLI,Industrial Select Sector SPDR ETF,equity_etf,USD,US,NYSE,recession_liquidity_stress|geopolitical_supply_chain,industrial_cycle,N,N,none,N,N,C,15000000000,diagnostic_only,산업재 beta 기준 자산,industrial,SP500_SECTOR,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
XLB,Materials Select Sector SPDR ETF,equity_etf,USD,US,NYSE,inflation_energy_shock|geopolitical_supply_chain,materials_cycle|commodity_beta,N,N,none,N,N,C,12000000000,conditional_candidate,원자재 민감 비교 후보,materials,SP500_SECTOR,N,취약점 보완 근거가 있을 때만 검토 후보
XLC,Communication Services Select Sector SPDR ETF,equity_etf,USD,US,NYSE,rate_shock_growth_duration|recession_liquidity_stress,growth_beta|platform,N,N,none,N,N,C,12000000000,diagnostic_only,플랫폼 beta 기준 자산,platform,SP500_SECTOR,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
SMH,VanEck Semiconductor ETF,equity_etf,USD,US,NASDAQ,semiconductor_ai_cycle,semiconductor_ai_cycle,N,N,none,N,N,C,20000000000,diagnostic_only,반도체 beta 기준 자산,semiconductor,US_SECTOR,N,장세 해석용 자산으로 기본 헤지 후보에서 제외
